File #	DateTime	Operator	Latitude	Longitude	Altitude	Application	Method	CalFile1	CalFile2	Included in Average	ElapsedTime	Alloy 1	Match Qual 1	Alloy 2	Match Qual 2	Alloy 3	Match Qual 3	Multiplier	Cal Check	MgO	MgO Err	Al2O3	Al2O3 Err	SiO2	SiO2 Err	P	P Err	S	S Err	Cl	Cl Err	K2O	K2O Err	Ca	Ca Err	Ti	Ti Err	V	V Err	Cr	Cr Err	Mn	Mn Err	Fe	Fe Err	Co	Co Err	Ni	Ni Err	Cu	Cu Err	Zn	Zn Err	Ga	Ga Err	As	As Err	Se	Se Err	Rb	Rb Err	Sr	Sr Err	Y	Y Err	Zr	Zr Err	Nb	Nb Err	Mo	Mo Err	Rh	Rh Err	Pd	Pd Err	Ag	Ag Err	Cd	Cd Err	Sn	Sn Err	Sb	Sb Err	Te	Te Err	Ba	Ba Err	La	La Err	Ce	Ce Err	Hf	Hf Err	Ta	Ta Err	W	W Err	Pt	Pt Err	Au	Au Err	Hg	Hg Err	Tl	Tl Err	Pb	Pb Err	Bi	Bi Err	Th	Th Err	U	U Err	Sample Type	Expedition	Site & Hole	Core/Section	TextID	Top Offset (cm)	Comment	
1	11-09-2022 03:25	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  0.7162	  0.3687	  9.6587	  0.2297	 60.2100	  0.3752	  0.0121	  0.0076	  0.1223	  0.0091	< LOD	  0.0127	  4.3376	  0.0240	  0.5695	  0.0085	  0.1286	  0.0037	  0.0054	  0.0040	< LOD	  0.0022	  0.1036	  0.0037	  1.5704	  0.0101	< LOD	  0.0016	  0.0048	  0.0006	  0.0198	  0.0008	  0.0640	  0.0012	  0.0004	  0.0004	  0.0061	  0.0010	< LOD	  0.0001	  0.0136	  0.0004	  0.0148	  0.0004	  0.0038	  0.0003	  0.0409	  0.0008	  0.0019	  0.0003	  0.0002	  0.0001	< LOD	  0.0006					< LOD	  0.0006	< LOD	  0.0014	  0.0134	  0.0021	  0.0001	  0.0000	  0.1065	  0.0059	< LOD	  0.0063	  0.0000	  0.0000	< LOD	  0.0008	< LOD	  0.0035	< LOD	  0.0016			< LOD	  0.0007	< LOD	  0.0006	< LOD	  0.0007	  0.0825	  0.0018	< LOD	  0.0007	  0.0010	  0.0007	  0.0008	  0.0005	Standard	397	U1587B	CS-M2		0	Geological Check Sample CS-M2	
2	11-09-2022 03:31	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.4532	  0.4850	 11.6629	  0.2741	 48.1237	  0.3386	  0.1155	  0.0132	< LOD	  0.0078	< LOD	  0.0141	  1.6258	  0.0157	  4.7412	  0.0214	  1.2827	  0.0086	  0.0466	  0.0087	  0.0049	  0.0030	  0.1565	  0.0048	  8.9201	  0.0259	  0.0055	  0.0037	  0.0022	  0.0006	  0.0023	  0.0005	  0.0117	  0.0007	  0.0017	  0.0004	< LOD	  0.0003	< LOD	  0.0001	  0.0041	  0.0003	  0.0330	  0.0007	  0.0035	  0.0003	  0.0174	  0.0005	  0.0004	  0.0002	  0.0210	  0.0005	< LOD	  0.0006	< LOD	  0.0006	< LOD	  0.0009	< LOD	  0.0006	< LOD	  0.0016	< LOD	  0.0019	  0.0001	  0.0000	  0.0753	  0.0059	  0.0089	  0.0085	  0.0000	  0.0000	< LOD	  0.0007	< LOD	  0.0029	< LOD	  0.0017					< LOD	  0.0005	< LOD	  0.0005	  0.0016	  0.0006	< LOD	  0.0006	< LOD	  0.0004	  0.0003	  0.0003	Standard	397	U1587B	BCR-2	OTHR10999071	0	Geological Check Sample BCR-2	
3	11-09-2022 03:35	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  3.6598	  0.5656	 11.8648	  0.2791	 42.1486	  0.3098	  0.0556	  0.0135	< LOD	  0.0076	< LOD	  0.0137	  0.4302	  0.0089	  7.5121	  0.0267	  1.5954	  0.0096	  0.0271	  0.0090	  0.0243	  0.0038	  0.1300	  0.0046	  8.1315	  0.0256	  0.0079	  0.0035	  0.0123	  0.0010	  0.0126	  0.0008	  0.0091	  0.0007	  0.0017	  0.0004	< LOD	  0.0003	< LOD	  0.0001	  0.0006	  0.0002	  0.0363	  0.0007	  0.0024	  0.0002	  0.0168	  0.0005	  0.0010	  0.0003	< LOD	  0.0003	< LOD	  0.0005	< LOD	  0.0006	< LOD	  0.0009	< LOD	  0.0006	< LOD	  0.0017	< LOD	  0.0017	< LOD	  0.0000	  0.0094	  0.0049	< LOD	  0.0079	< LOD	  0.0018	< LOD	  0.0008	< LOD	  0.0026	< LOD	  0.0016	< LOD	  0.0006			< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0006	< LOD	  0.0004	< LOD	  0.0003	Standard	397	U1587B	BHVO-2	OTHR10999061	0	Geological Check Sample BHVO-2	
4	11-09-2022 03:56	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.0215	  0.4207	  3.9014	  0.1711	 18.1759	  0.1916	  0.0325	  0.0128	< LOD	  0.0073	  0.3632	  0.0182	  1.2037	  0.0119	  8.8061	  0.0283	  0.2033	  0.0045	< LOD	  0.0045	  0.0060	  0.0021	  0.0472	  0.0030	  2.1043	  0.0131	< LOD	  0.0019	  0.0022	  0.0005	  0.0023	  0.0004	  0.0038	  0.0004	  0.0008	  0.0003	< LOD	  0.0002	  0.0002	  0.0001	  0.0058	  0.0003	  0.0490	  0.0009	  0.0023	  0.0003	  0.0027	  0.0010	  0.0004	  0.0003	< LOD	  0.0006	< LOD	  0.0005	  0.0014	  0.0008	< LOD	  0.0008	< LOD	  0.0006	< LOD	  0.0015	< LOD	  0.0018	< LOD	  0.0000	  0.0333	  0.0069	< LOD	  0.0073	< LOD	  0.0088	< LOD	  0.0006	< LOD	  0.0026	< LOD	  0.0013	< LOD	  0.0007			< LOD	  0.0004	< LOD	  0.0004	  0.0005	  0.0005	< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0008	SHLF	397	U1587B	22X/1	SHLF11836911	20		
5	11-09-2022 04:00	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.4968	  0.4651	  5.6243	  0.1996	 23.1193	  0.2198	  0.0442	  0.0144	< LOD	  0.0083	  0.5134	  0.0197	  1.5282	  0.0136	 10.6652	  0.0316	  0.2786	  0.0051	< LOD	  0.0052	  0.0046	  0.0024	  0.0667	  0.0036	  3.0492	  0.0161	< LOD	  0.0022	  0.0025	  0.0004	  0.0030	  0.0004	  0.0054	  0.0004	  0.0009	  0.0003	  0.0003	  0.0002	< LOD	  0.0001	  0.0059	  0.0003	  0.0563	  0.0009	  0.0027	  0.0003	  0.0117	  0.0010	  0.0006	  0.0003	< LOD	  0.0006	< LOD	  0.0006	  0.0016	  0.0009	< LOD	  0.0007	  0.0007	  0.0005	< LOD	  0.0014	< LOD	  0.0020	< LOD	  0.0000	  0.0215	  0.0055	< LOD	  0.0067	< LOD	  0.0067	< LOD	  0.0005	< LOD	  0.0028	< LOD	  0.0012					< LOD	  0.0005	< LOD	  0.0004	  0.0007	  0.0004	< LOD	  0.0004	< LOD	  0.0005	< LOD	  0.0008	SHLF	397	U1587B	22X/1	SHLF11836911	40		
6	11-09-2022 04:03	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.5555	  0.4523	  7.6790	  0.2201	 30.4682	  0.2552	  0.0246	  0.0127	  0.0763	  0.0090	  0.4574	  0.0193	  1.8949	  0.0154	  7.9654	  0.0271	  0.3445	  0.0053	< LOD	  0.0052	  0.0066	  0.0024	  0.0498	  0.0030	  2.9948	  0.0155	< LOD	  0.0022	  0.0026	  0.0004	  0.0026	  0.0004	  0.0045	  0.0004	  0.0009	  0.0003	  0.0002	  0.0002	< LOD	  0.0001	  0.0073	  0.0003	  0.0429	  0.0008	  0.0028	  0.0003	  0.0195	  0.0009	  0.0008	  0.0003	< LOD	  0.0005			  0.0024	  0.0009	< LOD	  0.0007	< LOD	  0.0005	< LOD	  0.0013	< LOD	  0.0021	< LOD	  0.0000	  0.0299	  0.0053	  0.0080	  0.0064	< LOD	  0.0045	< LOD	  0.0005	< LOD	  0.0030	< LOD	  0.0012	< LOD	  0.0008			< LOD	  0.0005	< LOD	  0.0003	  0.0009	  0.0004	< LOD	  0.0004	< LOD	  0.0005	< LOD	  0.0007	SHLF	397	U1587B	22X/1	SHLF11836911	60		
7	11-09-2022 04:08	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.1964	  0.4306	  7.0117	  0.2095	 28.6570	  0.2468	< LOD	  0.0112	  0.0365	  0.0080	  0.3876	  0.0189	  1.8810	  0.0152	  5.7155	  0.0229	  0.3316	  0.0051	< LOD	  0.0050	  0.0067	  0.0025	  0.0524	  0.0031	  2.9938	  0.0150	< LOD	  0.0022	  0.0029	  0.0005	  0.0026	  0.0004	  0.0049	  0.0004	  0.0007	  0.0003	  0.0004	  0.0002	< LOD	  0.0001	  0.0078	  0.0003	  0.0297	  0.0007	  0.0034	  0.0004	  0.0226	  0.0010	  0.0008	  0.0003	< LOD	  0.0005	< LOD	  0.0006	  0.0013	  0.0009	< LOD	  0.0007	< LOD	  0.0005	< LOD	  0.0013	< LOD	  0.0020	< LOD	  0.0000	  0.0372	  0.0059	< LOD	  0.0065	< LOD	  0.0050	< LOD	  0.0005	< LOD	  0.0029	< LOD	  0.0012	< LOD	  0.0008			< LOD	  0.0005	< LOD	  0.0004	  0.0011	  0.0004	< LOD	  0.0004	  0.0005	  0.0005	  0.0009	  0.0008	SHLF	397	U1587B	22X/1	SHLF11836911	110		
8	11-09-2022 04:12	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.5358	  0.4516	  7.3253	  0.2173	 28.0374	  0.2457	< LOD	  0.0125	  0.4544	  0.0130	  0.5086	  0.0199	  1.8582	  0.0153	  7.4208	  0.0263	  0.3300	  0.0053	< LOD	  0.0053	  0.0066	  0.0026	  0.0665	  0.0035	  3.8131	  0.0173	< LOD	  0.0025	  0.0041	  0.0005	  0.0024	  0.0004	  0.0063	  0.0004	  0.0008	  0.0003	  0.0008	  0.0002	< LOD	  0.0001	  0.0075	  0.0003	  0.0402	  0.0008	  0.0029	  0.0004	  0.0190	  0.0009	  0.0006	  0.0003	< LOD	  0.0005	< LOD	  0.0006	  0.0012	  0.0009	< LOD	  0.0007	< LOD	  0.0005	< LOD	  0.0013	< LOD	  0.0021	< LOD	  0.0000	  0.0330	  0.0056	< LOD	  0.0066	< LOD	  0.0053	< LOD	  0.0005	< LOD	  0.0029	< LOD	  0.0012	< LOD	  0.0008			< LOD	  0.0005	< LOD	  0.0003	  0.0008	  0.0004	< LOD	  0.0004	< LOD	  0.0005	< LOD	  0.0008	SHLF	397	U1587B	22X/1	SHLF11836911	116		
9	11-09-2022 04:17	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Sulfide3phase	Sulfide2phase	Sulfide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.0262	  0.4170	  7.2395	  0.2315	 25.4671	  0.2273	  0.0344	  0.0111	  4.0474	  0.0364			  1.5932	  0.0149	  6.7980	  0.0209	  0.2021	  0.0112	  0.0078	  0.0052	  0.0061	  0.0022	  0.0448	  0.0031	  6.8063	  0.0256	< LOD	  0.0050	  0.0081	  0.0014	  0.0045	  0.0008	  0.0132	  0.0010	  0.0030	  0.0009	  0.0022	  0.0003	< LOD	  0.0005	  0.0079	  0.0004	  0.0659	  0.0013	  0.0017	  0.0002	  0.0074	  0.0005			  0.0010	  0.0009			  0.0015	  0.0008	< LOD	  0.0025	< LOD	  0.0008			  0.0015	  0.0014	< LOD	  0.0008	  0.0338	  0.0070									< LOD	  0.0060	< LOD	  0.0007	< LOD	  0.0001	  0.0010	  0.0001			  0.0012	  0.0005	< LOD	  0.0005	< LOD	  0.0004	< LOD	  0.0012	SHLF	397	U1587B	22X/1	SHLF11836911	128		
10	11-09-2022 04:22	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.7163	  0.4633	  6.4968	  0.2100	 25.5007	  0.2332	  0.0200	  0.0136	< LOD	  0.0083	  0.5897	  0.0206	  1.7851	  0.0148	  9.4559	  0.0298	  0.3051	  0.0053	< LOD	  0.0053	  0.0066	  0.0025	  0.0912	  0.0040	  3.7063	  0.0176	< LOD	  0.0024	  0.0029	  0.0004	  0.0027	  0.0004	  0.0046	  0.0004	  0.0012	  0.0003	  0.0003	  0.0002	< LOD	  0.0001	  0.0071	  0.0003	  0.0502	  0.0009	  0.0028	  0.0003	  0.0155	  0.0009	  0.0006	  0.0003	< LOD	  0.0006	< LOD	  0.0006			< LOD	  0.0007	< LOD	  0.0005	< LOD	  0.0013	< LOD	  0.0021	< LOD	  0.0000	  0.0332	  0.0055	< LOD	  0.0066	< LOD	  0.0060	< LOD	  0.0005	< LOD	  0.0030	< LOD	  0.0012	< LOD	  0.0008			< LOD	  0.0005	< LOD	  0.0003	  0.0006	  0.0004	< LOD	  0.0004	< LOD	  0.0005	< LOD	  0.0007	SHLF	397	U1587B	22X/1	SHLF11836911	140		
11	11-09-2022 04:36	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  0.5465	  0.3555	  9.9742	  0.2325	 62.7543	  0.3851	  0.0093	  0.0075	  0.1338	  0.0093	< LOD	  0.0130	  4.4214	  0.0244	  0.5807	  0.0085	  0.1321	  0.0037	  0.0055	  0.0041	< LOD	  0.0022	  0.1031	  0.0037	  1.5847	  0.0101	  0.0026	  0.0017	  0.0046	  0.0006	  0.0206	  0.0008	  0.0666	  0.0013	  0.0010	  0.0004	  0.0078	  0.0011	< LOD	  0.0001	  0.0137	  0.0004	  0.0145	  0.0004	  0.0035	  0.0003	  0.0360	  0.0007	  0.0019	  0.0003	  0.0001	  0.0001	< LOD	  0.0006	< LOD	  0.0007			< LOD	  0.0006	< LOD	  0.0014	  0.0150	  0.0021	  0.0001	  0.0000	  0.0971	  0.0057	< LOD	  0.0063	  0.0000	  0.0000	< LOD	  0.0008	< LOD	  0.0033	< LOD	  0.0016	< LOD	  0.0008	< LOD	  0.0007	< LOD	  0.0006	< LOD	  0.0007	  0.0808	  0.0018	< LOD	  0.0007	< LOD	  0.0007	  0.0008	  0.0004	Standard	397	U1587B	CS-M2		0	Geological Check Sample CS-M2	
12	11-09-2022 04:41	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  1.5448	  0.4883	 12.0688	  0.2786	 48.7681	  0.3419	  0.1344	  0.0133	< LOD	  0.0077	< LOD	  0.0144	  1.6721	  0.0160	  4.8779	  0.0218	  1.3315	  0.0087	  0.0532	  0.0089	< LOD	  0.0030	  0.1624	  0.0049	  9.3238	  0.0265	  0.0047	  0.0037	  0.0021	  0.0006	  0.0021	  0.0005	  0.0122	  0.0007	  0.0023	  0.0004	< LOD	  0.0003	< LOD	  0.0001	  0.0046	  0.0003	  0.0343	  0.0007	  0.0030	  0.0003	  0.0161	  0.0005	  0.0003	  0.0002	  0.0202	  0.0005	< LOD	  0.0006	< LOD	  0.0006			< LOD	  0.0006	< LOD	  0.0017	< LOD	  0.0019	  0.0001	  0.0000	  0.0704	  0.0059	< LOD	  0.0086	  0.0000	  0.0000	< LOD	  0.0007	< LOD	  0.0029	< LOD	  0.0016					< LOD	  0.0005	< LOD	  0.0005	  0.0019	  0.0006	< LOD	  0.0006	< LOD	  0.0004	< LOD	  0.0003	Standard	397	U1587B	BCR-2	OTHR10999071	0	Geological Check Sample BCR-2	
13	11-09-2022 04:45	Supervisor	0.000000	0.000000	0.000000	GeoExploration	Oxide3phase	Oxide2phase	Oxide2phase		135.0	None	0.0	None	0.0	None	0.0	2	Passed	  4.3078	  0.5804	 13.1269	  0.2929	 44.6676	  0.3218	  0.0836	  0.0139	< LOD	  0.0076	< LOD	  0.0140	  0.4570	  0.0093	  7.8173	  0.0273	  1.6747	  0.0099	  0.0329	  0.0093	  0.0264	  0.0039	  0.1323	  0.0046	  8.5990	  0.0264	  0.0044	  0.0035	  0.0132	  0.0010	  0.0132	  0.0008	  0.0092	  0.0007	  0.0015	  0.0004	< LOD	  0.0003	< LOD	  0.0001	  0.0010	  0.0002	  0.0371	  0.0007	  0.0022	  0.0002	  0.0151	  0.0005	  0.0013	  0.0003	  0.0004	  0.0003	< LOD	  0.0005	< LOD	  0.0006	< LOD	  0.0009	< LOD	  0.0006	< LOD	  0.0016	< LOD	  0.0017	< LOD	  0.0000	  0.0067	  0.0045	< LOD	  0.0077	< LOD	  0.0010	< LOD	  0.0008	< LOD	  0.0026	< LOD	  0.0016					< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0005	< LOD	  0.0003	< LOD	  0.0002	Standard	397	U1587B	BHVO-2	OTHR10999061	0	Geological Check Sample BHVO-2	
